Año,Total (L/m²),Media Anual (L/m²),Tasa Variación (%),Clasificación
2006,81652279.0,441.83,N/A,Pluvioso
2007,62275361.0,472.42,-23.73,Pluvioso
2008,60853163.0,431.17,-2.28,Pluvioso
2009,62067419.0,473.0,2.0,Pluvioso
2010,48571392.0,412.5,-21.74,Seco
2011,58461222.0,427.5,20.36,Pluvioso
2012,59158636.0,398.67,1.19,Seco
2013,70851042.0,498.67,19.76,Pluvioso
2014,68383100.0,401.42,-3.48,Seco
2015,60727011.0,429.58,-11.2,Pluvioso
2016,74275674.0,450.75,22.31,Pluvioso
2017,59762746.0,380.25,-19.54,Seco
2018,68151719.0,427.92,14.04,Pluvioso
2019,70483797.0,436.5,3.42,Pluvioso
2020,67016748.0,375.25,-4.92,Seco
2021,59468080.0,366.58,-11.26,Seco
2022,85467456.0,471.83,43.72,Pluvioso
2023,47636675.0,351.75,-44.26,Seco
2024,56242216.0,383.92,18.06,Seco
2025,56758813.0,386.33,0.92,Seco
2026,65379478.0,392.33,15.19,Seco
2027,83911396.0,476.5,28.35,Pluvioso
2028,53153844.0,385.67,-36.65,Seco
2029,56524052.0,413.42,6.34,Seco
2030,74840744.0,397.33,32.41,Seco
2031,74114683.0,506.58,-0.97,Pluvioso
2032,76676334.0,458.17,3.46,Pluvioso
2033,70951905.0,408.08,-7.47,Seco
2034,55885956.0,376.5,-21.23,Seco
2035,56984412.0,326.58,1.97,Seco
2036,65614196.0,382.25,15.14,Seco
2037,64609726.0,421.0,-1.53,Seco
2038,58280012.0,386.42,-9.8,Seco
2039,78852722.0,423.75,35.3,Pluvioso
2040,65071926.0,474.25,-17.48,Pluvioso
2041,49135236.0,371.42,-24.49,Seco
2042,60577969.0,381.0,23.29,Seco
2043,66794657.0,467.17,10.26,Pluvioso
2044,56880489.0,456.0,-14.84,Pluvioso
2045,58500793.0,411.08,2.85,Seco
2046,63841378.0,429.25,9.13,Pluvioso
2047,63498509.0,410.58,-0.54,Seco
2048,60251208.0,462.92,-5.11,Pluvioso
2049,67795126.0,525.67,12.52,Pluvioso
2050,61354968.0,430.0,-9.5,Pluvioso
2051,56540246.0,437.0,-7.85,Pluvioso
2052,50227742.0,400.42,-11.16,Seco
2053,62656211.0,433.58,24.74,Pluvioso
2054,75618909.0,419.5,20.69,Seco
2055,57726785.0,363.58,-23.66,Seco
2056,76578594.0,355.17,32.66,Seco
2057,70299898.0,416.25,-8.2,Seco
2058,55051308.0,420.75,-21.69,Seco
2059,48514367.0,358.17,-11.87,Seco
2060,50216733.0,422.08,3.51,Seco
2061,52970740.0,416.5,5.48,Seco
2062,54996142.0,349.58,3.82,Seco
2063,61183312.0,342.17,11.25,Seco
2064,51288522.0,463.83,-16.17,Pluvioso
2065,56469221.0,401.92,10.1,Seco
2066,60217657.0,424.75,6.64,Pluvioso
2067,72780863.0,443.92,20.86,Pluvioso
2068,56075281.0,436.25,-22.95,Pluvioso
2069,51327706.0,415.17,-8.47,Seco
2070,65368595.0,469.17,27.36,Pluvioso
2071,73901222.0,505.25,13.05,Pluvioso
2072,49903090.0,382.17,-32.47,Seco
2073,56010083.0,471.83,12.24,Pluvioso
2074,59940299.0,433.92,7.02,Pluvioso
2075,58535763.0,435.83,-2.34,Pluvioso
2076,40465080.0,335.42,-30.87,Seco
2077,56806236.0,427.75,40.38,Pluvioso
2078,67343397.0,410.92,18.55,Seco
2079,36625056.0,322.83,-45.61,Seco
2080,61479679.0,417.08,67.86,Seco
2081,79772225.0,413.5,29.75,Seco
2082,50617841.0,389.25,-36.55,Seco
2083,75811480.0,477.83,49.77,Pluvioso
2084,52728045.0,321.92,-30.45,Seco
2085,59003028.0,338.83,11.9,Seco
2086,47312552.0,450.58,-19.81,Pluvioso
2087,44692983.0,361.67,-5.54,Seco
2088,46891278.0,411.08,4.92,Seco
2089,62746700.0,428.0,33.81,Pluvioso
2090,60025659.0,405.75,-4.34,Seco
2091,50461291.0,435.83,-15.93,Pluvioso
2092,79261202.0,491.42,57.07,Pluvioso
2093,52504219.0,392.75,-33.76,Seco
2094,52138508.0,340.0,-0.7,Seco
2095,55350636.0,350.25,6.16,Seco
2096,39309145.0,362.25,-28.98,Seco
2097,39648178.0,375.17,0.86,Seco
2098,46154145.0,322.17,16.41,Seco
2099,62184030.0,460.17,34.73,Pluvioso
2100,60598786.0,478.42,-2.55,Pluvioso
